Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-12-07,2369.943603515625,2375.3973642229153,2342.6316855755986,2350.29294601502,1996400
2020-12-08,2421.53759765625,2428.6793718070185,2365.3988399451932,2371.9346876491622,4277818
2020-12-09,2433.22412109375,2458.50163080341,2417.9449260529914,2436.8598910956334,3659996
2020-12-10,2410.283935546875,2447.507728748379,2406.777931360035,2439.4569591125182,2127801
2020-12-11,2409.67822265625,2430.5407352832267,2393.1871728677684,2417.555689992318,1795408
2020-12-14,2421.883544921875,2427.337305101786,2386.001586015263,2425.6059660824553,2483658
2020-12-15,2390.589599609375,2419.2864583915157,2384.9194222348624,2411.7551761692657,2365509
2020-12-16,2436.1669921875,2441.014825781379,2389.6372579461395,2405.69546896264,2565149
2020-12-17,2456.943359375,2470.361237863296,2428.203171591672,2433.3971890710122,2863460
2020-12-18,2476.6806640625,2508.710438466664,2463.8687120318123,2482.7403511119364,6076692
2020-12-21,2441.318115234375,2498.7553795518334,2410.889912368563,2476.680804052588,2705195
2020-12-22,2486.63623046875,2496.2883631525297,2440.0198322628976,2453.307946787968,2881737
2020-12-23,2518.016357421875,2526.889470499167,2480.532822836096,2489.709004800413,2790988
2020-12-24,2518.535888671875,2528.9239236795593,2495.898502243895,2518.232819779439,1807144
2020-12-28,2535.892333984375,2553.465468386941,2512.1730724899494,2519.0984289957796,2108994
2020-12-29,2536.844482421875,2555.456376764844,2527.7549526264715,2527.7549526264715,1994151
2020-12-30,2518.492919921875,2551.734552120445,2512.1734887940606,2540.2211027525323,2637968
2020-12-31,2478.19580078125,2514.770343644933,2462.830164430235,2510.441995377041,4040956
2021-01-01,2534.896728515625,2545.0683452013786,2492.262505385976,2493.1281748911465,2681440
2021-01-04,2631.158935546875,2640.9410424819716,2545.890495758471,2553.7248464547456,5113293
2021-01-05,2677.51611328125,2695.9115925593705,2631.289440480398,2631.289440480398,5801309
2021-01-06,2641.5908203125,2695.2623362421655,2629.211702595182,2683.575796483287,3726716
