Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2020-11-06,129.91677856445312,132.34409161416744,129.50600505898987,131.8212868190097,35571152
2020-11-09,129.05792236328125,132.41880267609395,128.3484064736673,129.91680939622827,36645472
2020-11-10,133.2029571533203,134.0991954925047,128.34835550005687,130.70096486712208,59672371
2020-11-11,138.3936767578125,138.8418019231191,133.38970314784552,134.13655869814855,65757234
2020-11-12,140.41021728515625,140.97037379280965,137.31073984006144,138.31900971871173,48153554
2020-11-13,139.73802185058594,141.00769397761255,138.58039284461228,139.8127133195798,29284742
2020-11-14,140.8583221435547,141.9039316932961,140.44754865403115,141.19440416447205,8066280
2020-11-17,139.9247589111328,141.45582174836025,139.21523130608495,141.15707951209032,21757459
2020-11-18,137.46009826660156,140.746298189078,136.48918013489538,139.51397765632115,27620283
2020-11-19,140.33554077148438,143.24830733575644,136.45185596416366,136.52653561009947,50871154
2020-11-20,143.17359924316406,143.39766182522723,138.953821013348,141.00770040030264,47052232
2020-11-23,142.53875732421875,143.77108964006771,140.89566334991915,143.3976559636021,24073204
2020-11-24,146.04905700683594,146.72123306221343,142.35208278469597,142.35208278469597,47160760
2020-11-25,144.7793731689453,147.84151092165948,143.77111508269724,146.38512761029992,43263598
2020-11-26,145.48887634277344,146.27308358339363,143.8084424001233,145.7129389358436,25155854
2020-11-27,144.62998962402344,146.19840410702938,144.2939075691652,145.22748592784131,32594141
2020-12-01,145.19012451171875,146.64650760015735,143.6964016052784,145.63824966823805,16505446
2020-12-02,146.34779357910156,148.43901315205633,144.55531627796123,145.63827772476057,29520716
2020-12-03,146.5344696044922,147.2813369410923,145.3021491507136,147.2813369410923,29087754
2020-12-04,148.02821350097656,148.88710033997026,146.75854131667094,147.01994371725593,23005484
2020-12-07,151.72518920898438,152.17331441460868,147.58010206771476,148.02822727333907,37068111
